Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
6292,,,,,,,,,,,,
6293,,,,,,,,,,,,
6294,,,,,,,,,,,,
6295,,,,,,,,,,,,
6296,,,,,,,,,,,,
6297,,,,,,,,,,,,
6298,,,,,,,,,,,,
6299,,,,,,,,,,,,
6300,,,,,,,,,,,,
6301,,,,,,,,,,,,
6302,,,,,,,,,,,,
6303,,,,,,,,,,,,
6304,,,,,,,,,,,,
6305,,,,,,,,,,,,
6306,,,,,,,,,,,,
6307,,,,,,,,,,,,
6308,,,,,,,,,,,,
6309,,,,,,,,,,,,
6310,,,,,,,,,,,,
6311,,,,,,,,,,,,
6312,,,,,,,,,,,,
6313,,,,,,,,,,,,
6314,,,,,,,,,,,,
6315,,,,,,,,,,,,
6316,,,,,,,,,,,,
6317,,,,,,,,,,,,
6318,,,,,,,,,,,,
6319,,,,,,,,,,,,
6320,,,,,,,,,,,,
6321,,,,,,,,,,,,
6322,,,,,,,,,,,,
6323,,,,,,,,,,,,
6324,,,,,,,,,,,,
6325,,,,,,,,,,,,
6326,,,,,,,,,,,,
6327,,,,,,,,,,,,
6328,,,,,,,,,,,,
6329,,,,,,,,,,,,
6330,,,,,,,,,,,,
6331,,,,,,,,,,,,
6332,,,,,,,,,,,,
6333,,,,,,,,,,,,
6334,,,,,,,,,,,,
6335,,,,,,,,,,,,
6336,,,,,,,,,,,,
6337,,,,,,,,,,,,
6338,,,,,,,,,,,,
6339,,,,,,,,,,,,
6340,,,,,,,,,,,,
6341,,,,,,,,,,,,
6342,,,,,,,,,,,,
6343,,,,,,,,,,,,
6344,,,,,,,,,,,,
6345,,,,,,,,,,,,
6346,,,,,,,,,,,,
6347,,,,,,,,,,,,
6348,,,,,,,,,,,,
6349,,,,,,,,,,,,
6350,,,,,,,,,,,,
6351,,,,,,,,,,,,
6352,,,,,,,,,,,,
6353,,,,,,,,,,,,
6354,,,,,,,,,,,,
6355,,,,,,,,,,,,
6356,,,,,,,,,,,,
6357,,,,,,,,,,,,
6358,,,,,,,,,,,,
6359,,,,,,,,,,,,
6360,,,,,,,,,,,,
6361,,,,,,,,,,,,
6362,,,,,,,,,,,,
6363,,,,,,,,,,,,
6364,,,,,,,,,,,,
6365,,,,,,,,,,,,
6366,,,,,,,,,,,,
6367,,,,,,,,,,,,
6368,,,,,,,,,,,,
6369,,,,,,,,,,,,
6370,,,,,,,,,,,,
6371,,,,,,,,,,,,
6372,,,,,,,,,,,,
6373,,,,,,,,,,,,
6374,,,,,,,,,,,,
6375,,,,,,,,,,,,
6376,,,,,,,,,,,,
6377,,,,,,,,,,,,
6378,,,,,,,,,,,,
6379,,,,,,,,,,,,
6380,,,,,,,,,,,,
6381,,,,,,,,,,,,
6382,,,,,,,,,,,,
6383,,,,,,,,,,,,
6384,,,,,,,,,,,,
6385,,,,,,,,,,,,
6386,,,,,,,,,,,,
6387,,,,,,,,,,,,
6388,,,,,,,,,,,,
6389,,,,,,,,,,,,
6390,,,,,,,,,,,,
6391,,,,,,,,,,,,
6392,,,,,,,,,,,,
6393,,,,,,,,,,,,
6394,,,,,,,,,,,,
6395,,,,,,,,,,,,
6396,,,,,,,,,,,,
6397,,,,,,,,,,,,
6398,,,,,,,,,,,,
6399,,,,,,,,,,,,
6400,,,,,,,,,,,,
6401,,,,,,,,,,,,
6402,,,,,,,,,,,,
6403,,,,,,,,,,,,
6404,,,,,,,,,,,,
6405,,,,,,,,,,,,
6406,,,,,,,,,,,,
6407,,,,,,,,,,,,
6408,,,,,,,,,,,,
6409,,,,,,,,,,,,
6410,,,,,,,,,,,,
6411,,,,,,,,,,,,
6412,,,,,,,,,,,,
6413,,,,,,,,,,,,
6414,,,,,,,,,,,,
6415,,,,,,,,,,,,
6416,,,,,,,,,,,,
6417,,,,,,,,,,,,
6418,,,,,,,,,,,,
6419,,,,,,,,,,,,
6420,,,,,,,,,,,,
6421,,,,,,,,,,,,
6422,,,,,,,,,,,,
6423,,,,,,,,,,,,
6424,,,,,,,,,,,,
6425,,,,,,,,,,,,
6426,,,,,,,,,,,,
6427,,,,,,,,,,,,
6428,,,,,,,,,,,,
6429,,,,,,,,,,,,
6430,,,,,,,,,,,,
6431,,,,,,,,,,,,
6432,,,,,,,,,,,,
6433,,,,,,,,,,,,
6434,,,,,,,,,,,,
6435,,,,,,,,,,,,
6436,,,,,,,,,,,,
6437,,,,,,,,,,,,
6438,,,,,,,,,,,,
6439,,,,,,,,,,,,
6440,,,,,,,,,,,,
6441,,,,,,,,,,,,
6442,,,,,,,,,,,,
6443,,,,,,,,,,,,
6444,,,,,,,,,,,,
6445,,,,,,,,,,,,
6446,,,,,,,,,,,,
6447,,,,,,,,,,,,
6448,,,,,,,,,,,,
6449,,,,,,,,,,,,
6450,,,,,,,,,,,,
6451,,,,,,,,,,,,
6452,,,,,,,,,,,,
6453,,,,,,,,,,,,
6454,,,,,,,,,,,,
6455,,,,,,,,,,,,
6456,,,,,,,,,,,,
6457,,,,,,,,,,,,
6458,,,,,,,,,,,,
6459,,,,,,,,,,,,
6460,,,,,,,,,,,,
6461,,,,,,,,,,,,
6462,,,,,,,,,,,,
6463,,,,,,,,,,,,
6464,,,,,,,,,,,,
6465,,,,,,,,,,,,
6466,,,,,,,,,,,,
6467,,,,,,,,,,,,
6468,,,,,,,,,,,,
6469,,,,,,,,,,,,
6470,,,,,,,,,,,,
6471,,,,,,,,,,,,
6472,,,,,,,,,,,,
6473,,,,,,,,,,,,
6474,,,,,,,,,,,,
6475,,,,,,,,,,,,
6476,,,,,,,,,,,,
6477,,,,,,,,,,,,
6478,,,,,,,,,,,,
6479,,,,,,,,,,,,
6480,,,,,,,,,,,,
6481,,,,,,,,,,,,
6482,,,,,,,,,,,,
6483,,,,,,,,,,,,
6484,,,,,,,,,,,,
6485,,,,,,,,,,,,
6486,,,,,,,,,,,,
6487,,,,,,,,,,,,
6488,,,,,,,,,,,,
6489,,,,,,,,,,,,
6490,,,,,,,,,,,,
6491,,,,,,,,,,,,
6492,,,,,,,,,,,,
6493,,,,,,,,,,,,
6494,,,,,,,,,,,,
6495,,,,,,,,,,,,
6496,,,,,,,,,,,,
6497,,,,,,,,,,,,
6498,,,,,,,,,,,,
6499,,,,,,,,,,,,
6500,,,,,,,,,,,,
6501,,,,,,,,,,,,
6502,,,,,,,,,,,,
6503,,,,,,,,,,,,
6504,,,,,,,,,,,,
6505,,,,,,,,,,,,
6506,,,,,,,,,,,,
6507,,,,,,,,,,,,
6508,,,,,,,,,,,,
6509,,,,,,,,,,,,
6510,,,,,,,,,,,,
6511,,,,,,,,,,,,
6512,,,,,,,,,,,,
6513,,,,,,,,,,,,
6514,,,,,,,,,,,,
6515,,,,,,,,,,,,
6516,,,,,,,,,,,,
6517,,,,,,,,,,,,
6518,,,,,,,,,,,,
6519,,,,,,,,,,,,
6520,,,,,,,,,,,,
6521,,,,,,,,,,,,
6522,,,,,,,,,,,,
6523,,,,,,,,,,,,
6524,,,,,,,,,,,,
6525,,,,,,,,,,,,
6526,,,,,,,,,,,,
6527,,,,,,,,,,,,
6528,,,,,,,,,,,,
6529,,,,,,,,,,,,
6530,,,,,,,,,,,,
6531,,,,,,,,,,,,
6532,,,,,,,,,,,,
6533,,,,,,,,,,,,
6534,,,,,,,,,,,,
6535,,,,,,,,,,,,
6536,,,,,,,,,,,,
6537,,,,,,,,,,,,
6538,,,,,,,,,,,,
6539,,,,,,,,,,,,
6540,,,,,,,,,,,,
6541,,,,,,,,,,,,
6542,,,,,,,,,,,,
6543,,,,,,,,,,,,
6544,,,,,,,,,,,,
6545,,,,,,,,,,,,
6546,,,,,,,,,,,,
6547,,,,,,,,,,,,
6548,,,,,,,,,,,,
6549,,,,,,,,,,,,
6550,,,,,,,,,,,,
6551,,,,,,,,,,,,
6552,,,,,,,,,,,,
6553,,,,,,,,,,,,
6554,,,,,,,,,,,,
6555,,,,,,,,,,,,
6556,,,,,,,,,,,,
6557,,,,,,,,,,,,
6558,,,,,,,,,,,,
6559,,,,,,,,,,,,
6560,,,,,,,,,,,,
6561,,,,,,,,,,,,
6562,,,,,,,,,,,,
6563,,,,,,,,,,,,
6564,,,,,,,,,,,,
6565,,,,,,,,,,,,
6566,,,,,,,,,,,,
6567,,,,,,,,,,,,
6568,,,,,,,,,,,,
6569,,,,,,,,,,,,
6570,,,,,,,,,,,,
6571,,,,,,,,,,,,
6572,,,,,,,,,,,,
6573,,,,,,,,,,,,
6574,,,,,,,,,,,,
6575,,,,,,,,,,,,
6576,,,,,,,,,,,,
6577,,,,,,,,,,,,
6578,,,,,,,,,,,,
6579,,,,,,,,,,,,
6580,,,,,,,,,,,,
6581,,,,,,,,,,,,
6582,,,,,,,,,,,,
6583,,,,,,,,,,,,
6584,,,,,,,,,,,,
6585,,,,,,,,,,,,
6586,,,,,,,,,,,,
6587,,,,,,,,,,,,
6588,,,,,,,,,,,,
6589,,,,,,,,,,,,
6590,,,,,,,,,,,,
6591,,,,,,,,,,,,
6592,,,,,,,,,,,,
6593,,,,,,,,,,,,
6594,,,,,,,,,,,,
6595,,,,,,,,,,,,
6596,,,,,,,,,,,,
6597,,,,,,,,,,,,
6598,,,,,,,,,,,,
6599,,,,,,,,,,,,
6600,,,,,,,,,,,,
6601,,,,,,,,,,,,
6602,,,,,,,,,,,,
6603,,,,,,,,,,,,
6604,,,,,,,,,,,,
6605,,,,,,,,,,,,
6606,,,,,,,,,,,,
6607,,,,,,,,,,,,
6608,,,,,,,,,,,,
6609,,,,,,,,,,,,
6610,,,,,,,,,,,,
6611,,,,,,,,,,,,
6612,,,,,,,,,,,,
6613,,,,,,,,,,,,
6614,,,,,,,,,,,,
6615,,,,,,,,,,,,
6616,,,,,,,,,,,,
6617,,,,,,,,,,,,
6618,,,,,,,,,,,,
6619,,,,,,,,,,,,
6620,,,,,,,,,,,,
6621,,,,,,,,,,,,
6622,,,,,,,,,,,,
6623,,,,,,,,,,,,
6624,,,,,,,,,,,,
6625,,,,,,,,,,,,
6626,,,,,,,,,,,,
6627,,,,,,,,,,,,
6628,,,,,,,,,,,,
6629,,,,,,,,,,,,
6630,,,,,,,,,,,,
6631,,,,,,,,,,,,
6632,,,,,,,,,,,,
6633,,,,,,,,,,,,
6634,,,,,,,,,,,,
6635,,,,,,,,,,,,
6636,,,,,,,,,,,,
6637,,,,,,,,,,,,
6638,,,,,,,,,,,,
6639,,,,,,,,,,,,
6640,,,,,,,,,,,,
6641,,,,,,,,,,,,
6642,,,,,,,,,,,,
6643,,,,,,,,,,,,
6644,,,,,,,,,,,,
6645,,,,,,,,,,,,
6646,,,,,,,,,,,,
6647,,,,,,,,,,,,
6648,,,,,,,,,,,,
6649,,,,,,,,,,,,
6650,,,,,,,,,,,,
6651,,,,,,,,,,,,
6652,,,,,,,,,,,,
6653,,,,,,,,,,,,
6654,,,,,,,,,,,,
6655,,,,,,,,,,,,
6656,,,,,,,,,,,,
6657,,,,,,,,,,,,
6658,,,,,,,,,,,,
6659,,,,,,,,,,,,
6660,,,,,,,,,,,,
6661,,,,,,,,,,,,
6662,,,,,,,,,,,,
6663,,,,,,,,,,,,
6664,,,,,,,,,,,,
6665,,,,,,,,,,,,
6666,,,,,,,,,,,,
6667,,,,,,,,,,,,
6668,,,,,,,,,,,,
6669,,,,,,,,,,,,
6670,,,,,,,,,,,,
6671,,,,,,,,,,,,
6672,,,,,,,,,,,,
6673,,,,,,,,,,,,
6674,,,,,,,,,,,,
6675,,,,,,,,,,,,
6676,,,,,,,,,,,,
6677,,,,,,,,,,,,
6678,,,,,,,,,,,,
6679,,,,,,,,,,,,
6680,,,,,,,,,,,,
6681,,,,,,,,,,,,
6682,,,,,,,,,,,,
6683,,,,,,,,,,,,
6684,,,,,,,,,,,,
6685,,,,,,,,,,,,
6686,,,,,,,,,,,,
6687,,,,,,,,,,,,
6688,,,,,,,,,,,,
6689,,,,,,,,,,,,
6690,,,,,,,,,,,,
6691,,,,,,,,,,,,
6692,,,,,,,,,,,,
6693,,,,,,,,,,,,
6694,,,,,,,,,,,,
6695,,,,,,,,,,,,
6696,,,,,,,,,,,,
6697,,,,,,,,,,,,
6698,,,,,,,,,,,,
6699,,,,,,,,,,,,
6700,,,,,,,,,,,,
6701,,,,,,,,,,,,
6702,,,,,,,,,,,,
6703,,,,,,,,,,,,
6704,,,,,,,,,,,,
6705,,,,,,,,,,,,
6706,,,,,,,,,,,,
6707,,,,,,,,,,,,
6708,,,,,,,,,,,,
6709,,,,,,,,,,,,
6710,,,,,,,,,,,,
6711,,,,,,,,,,,,
6712,,,,,,,,,,,,
6713,,,,,,,,,,,,
6714,,,,,,,,,,,,
6715,,,,,,,,,,,,
6716,,,,,,,,,,,,
6717,,,,,,,,,,,,
6718,,,,,,,,,,,,
6719,,,,,,,,,,,,
6720,,,,,,,,,,,,
6721,,,,,,,,,,,,
6722,,,,,,,,,,,,
6723,,,,,,,,,,,,
6724,,,,,,,,,,,,
6725,,,,,,,,,,,,
6726,,,,,,,,,,,,
6727,,,,,,,,,,,,
6728,,,,,,,,,,,,
6729,,,,,,,,,,,,
6730,,,,,,,,,,,,
6731,,,,,,,,,,,,
6732,,,,,,,,,,,,
6733,,,,,,,,,,,,
6734,,,,,,,,,,,,
6735,,,,,,,,,,,,
6736,,,,,,,,,,,,
6737,,,,,,,,,,,,
6738,,,,,,,,,,,,
6739,,,,,,,,,,,,
6740,,,,,,,,,,,,
6741,,,,,,,,,,,,
6742,,,,,,,,,,,,
6743,,,,,,,,,,,,
6744,,,,,,,,,,,,
6745,,,,,,,,,,,,
6746,,,,,,,,,,,,
6747,,,,,,,,,,,,
6748,,,,,,,,,,,,
6749,,,,,,,,,,,,
6750,,,,,,,,,,,,
6751,,,,,,,,,,,,
6752,,,,,,,,,,,,
6753,,,,,,,,,,,,
6754,,,,,,,,,,,,
6755,,,,,,,,,,,,
6756,,,,,,,,,,,,
6757,,,,,,,,,,,,
6758,,,,,,,,,,,,
6759,,,,,,,,,,,,
6760,,,,,,,,,,,,
6761,,,,,,,,,,,,
6762,,,,,,,,,,,,
6763,,,,,,,,,,,,
6764,,,,,,,,,,,,
6765,,,,,,,,,,,,
6766,,,,,,,,,,,,
6767,,,,,,,,,,,,
6768,,,,,,,,,,,,
6769,,,,,,,,,,,,
6770,,,,,,,,,,,,
6771,,,,,,,,,,,,
6772,,,,,,,,,,,,
6773,,,,,,,,,,,,
6774,,,,,,,,,,,,
6775,,,,,,,,,,,,
6776,,,,,,,,,,,,
6777,,,,,,,,,,,,
6778,,,,,,,,,,,,
6779,,,,,,,,,,,,
6780,,,,,,,,,,,,
6781,,,,,,,,,,,,
6782,,,,,,,,,,,,
6783,,,,,,,,,,,,
6784,,,,,,,,,,,,
6785,,,,,,,,,,,,
6786,,,,,,,,,,,,
6787,,,,,,,,,,,,
6788,,,,,,,,,,,,
6789,,,,,,,,,,,,
6790,,,,,,,,,,,,
6791,,,,,,,,,,,,
6792,,,,,,,,,,,,
6793,,,,,,,,,,,,
6794,,,,,,,,,,,,
6795,,,,,,,,,,,,
6796,,,,,,,,,,,,
6797,,,,,,,,,,,,
6798,,,,,,,,,,,,
6799,,,,,,,,,,,,
6800,,,,,,,,,,,,
6801,,,,,,,,,,,,
6802,,,,,,,,,,,,
6803,,,,,,,,,,,,
6804,,,,,,,,,,,,
6805,,,,,,,,,,,,
6806,,,,,,,,,,,,
6807,,,,,,,,,,,,
6808,,,,,,,,,,,,
6809,,,,,,,,,,,,
6810,,,,,,,,,,,,
6811,,,,,,,,,,,,
6812,,,,,,,,,,,,
6813,,,,,,,,,,,,
6814,,,,,,,,,,,,
6815,,,,,,,,,,,,
6816,,,,,,,,,,,,
6817,,,,,,,,,,,,
6818,,,,,,,,,,,,
6819,,,,,,,,,,,,
6820,,,,,,,,,,,,
6821,,,,,,,,,,,,
6822,,,,,,,,,,,,
6823,,,,,,,,,,,,
6824,,,,,,,,,,,,
6825,,,,,,,,,,,,
6826,,,,,,,,,,,,
6827,,,,,,,,,,,,
6828,,,,,,,,,,,,
6829,,,,,,,,,,,,
6830,,,,,,,,,,,,
6831,,,,,,,,,,,,
6832,,,,,,,,,,,,
6833,,,,,,,,,,,,
6834,,,,,,,,,,,,
6835,,,,,,,,,,,,
6836,,,,,,,,,,,,
6837,,,,,,,,,,,,
6838,,,,,,,,,,,,
6839,,,,,,,,,,,,
6840,,,,,,,,,,,,
6841,,,,,,,,,,,,
6842,,,,,,,,,,,,
6843,,,,,,,,,,,,
6844,,,,,,,,,,,,
6845,,,,,,,,,,,,
6846,,,,,,,,,,,,
6847,,,,,,,,,,,,
6848,,,,,,,,,,,,
6849,,,,,,,,,,,,
6850,,,,,,,,,,,,
6851,,,,,,,,,,,,
6852,,,,,,,,,,,,
6853,,,,,,,,,,,,
6854,,,,,,,,,,,,
6855,,,,,,,,,,,,
6856,,,,,,,,,,,,
6857,,,,,,,,,,,,
6858,,,,,,,,,,,,
6859,,,,,,,,,,,,
6860,,,,,,,,,,,,
6861,,,,,,,,,,,,
6862,,,,,,,,,,,,
6863,,,,,,,,,,,,
6864,,,,,,,,,,,,
6865,,,,,,,,,,,,
6866,,,,,,,,,,,,
6867,,,,,,,,,,,,
6868,,,,,,,,,,,,
6869,,,,,,,,,,,,
6870,,,,,,,,,,,,
6871,,,,,,,,,,,,
6872,,,,,,,,,,,,
6873,,,,,,,,,,,,
6874,,,,,,,,,,,,
6875,,,,,,,,,,,,
6876,,,,,,,,,,,,
6877,,,,,,,,,,,,
6878,,,,,,,,,,,,
6879,,,,,,,,,,,,
6880,,,,,,,,,,,,
6881,,,,,,,,,,,,
6882,,,,,,,,,,,,
6883,,,,,,,,,,,,
6884,,,,,,,,,,,,
6885,,,,,,,,,,,,
6886,,,,,,,,,,,,
6887,,,,,,,,,,,,
6888,,,,,,,,,,,,
6889,,,,,,,,,,,,
6890,,,,,,,,,,,,
6891,,,,,,,,,,,,
6892,,,,,,,,,,,,
6893,,,,,,,,,,,,
6894,,,,,,,,,,,,
6895,,,,,,,,,,,,
6896,,,,,,,,,,,,
6897,,,,,,,,,,,,
6898,,,,,,,,,,,,
6899,,,,,,,,,,,,
6900,,,,,,,,,,,,
6901,,,,,,,,,,,,
6902,,,,,,,,,,,,
6903,,,,,,,,,,,,
6904,,,,,,,,,,,,
6905,,,,,,,,,,,,
6906,,,,,,,,,,,,
6907,,,,,,,,,,,,
6908,,,,,,,,,,,,
6909,,,,,,,,,,,,
6910,,,,,,,,,,,,
6911,,,,,,,,,,,,
6912,,,,,,,,,,,,
6913,,,,,,,,,,,,
6914,,,,,,,,,,,,
6915,,,,,,,,,,,,
6916,,,,,,,,,,,,
6917,,,,,,,,,,,,
6918,,,,,,,,,,,,
6919,,,,,,,,,,,,
6920,,,,,,,,,,,,
6921,,,,,,,,,,,,
6922,,,,,,,,,,,,
6923,,,,,,,,,,,,
6924,,,,,,,,,,,,
6925,,,,,,,,,,,,
6926,,,,,,,,,,,,
6927,,,,,,,,,,,,
6928,,,,,,,,,,,,
6929,,,,,,,,,,,,
6930,,,,,,,,,,,,
6931,,,,,,,,,,,,
6932,,,,,,,,,,,,
6933,,,,,,,,,,,,
6934,,,,,,,,,,,,
6935,,,,,,,,,,,,
6936,,,,,,,,,,,,
6937,,,,,,,,,,,,
6938,,,,,,,,,,,,
6939,,,,,,,,,,,,
6940,,,,,,,,,,,,
6941,,,,,,,,,,,,
6942,,,,,,,,,,,,
6943,,,,,,,,,,,,
6944,,,,,,,,,,,,
6945,,,,,,,,,,,,
6946,,,,,,,,,,,,
6947,,,,,,,,,,,,
6948,,,,,,,,,,,,
6949,,,,,,,,,,,,
6950,,,,,,,,,,,,
6951,,,,,,,,,,,,
6952,,,,,,,,,,,,
6953,,,,,,,,,,,,
6954,,,,,,,,,,,,
6955,,,,,,,,,,,,
6956,,,,,,,,,,,,
6957,,,,,,,,,,,,
6958,,,,,,,,,,,,
6959,,,,,,,,,,,,
6960,,,,,,,,,,,,
6961,,,,,,,,,,,,
6962,,,,,,,,,,,,
6963,,,,,,,,,,,,
6964,,,,,,,,,,,,
6965,,,,,,,,,,,,
6966,,,,,,,,,,,,
6967,,,,,,,,,,,,
6968,,,,,,,,,,,,
6969,,,,,,,,,,,,
6970,,,,,,,,,,,,
6971,,,,,,,,,,,,
6972,,,,,,,,,,,,
6973,,,,,,,,,,,,
6974,,,,,,,,,,,,
6975,,,,,,,,,,,,
6976,,,,,,,,,,,,
6977,,,,,,,,,,,,
6978,,,,,,,,,,,,
6979,,,,,,,,,,,,
6980,,,,,,,,,,,,
6981,,,,,,,,,,,,
6982,,,,,,,,,,,,
6983,,,,,,,,,,,,
6984,,,,,,,,,,,,
6985,,,,,,,,,,,,
6986,,,,,,,,,,,,
6987,,,,,,,,,,,,
6988,,,,,,,,,,,,
6989,,,,,,,,,,,,
6990,,,,,,,,,,,,
6991,,,,,,,,,,,,
6992,,,,,,,,,,,,
6993,,,,,,,,,,,,
6994,,,,,,,,,,,,
6995,,,,,,,,,,,,
6996,,,,,,,,,,,,
6997,,,,,,,,,,,,
6998,,,,,,,,,,,,
6999,,,,,,,,,,,,
7000,0.500000000000089528493623460111979109,8.9528493623460111979109E-14,-13.04803872273955533955813734792172908782958984375,1.84623093765169927591624393179351945,4.14756068731056294450790E-13,-12.382207250639037710016054916195571422576904296875,3.93633760970669404658426920362003109,1.158844740069995488138040E-12,-11.9359747461310004013057550764642655849456787109375,6.79966527781782114916374727115779413,2.380482927415474162124080E-12,-11.623334928894717421599125373177230358123779296875
7001,,,,,,,,,,,,
7002,,,,,,,,,,,,
7003,,,,,,,,,,,,
7004,,,,,,,,,,,,
7005,,,,,,,,,,,,
7006,,,,,,,,,,,,
7007,,,,,,,,,,,,
7008,,,,,,,,,,,,
7009,,,,,,,,,,,,
7010,,,,,,,,,,,,
7011,,,,,,,,,,,,
7012,,,,,,,,,,,,
7013,,,,,,,,,,,,
7014,,,,,,,,,,,,
7015,,,,,,,,,,,,
7016,,,,,,,,,,,,
7017,,,,,,,,,,,,
7018,,,,,,,,,,,,
7019,,,,,,,,,,,,
7020,,,,,,,,,,,,
7021,,,,,,,,,,,,
7022,,,,,,,,,,,,
7023,,,,,,,,,,,,
7024,,,,,,,,,,,,
7025,,,,,,,,,,,,
7026,,,,,,,,,,,,
7027,,,,,,,,,,,,
7028,,,,,,,,,,,,
7029,,,,,,,,,,,,
7030,,,,,,,,,,,,
7031,,,,,,,,,,,,
7032,,,,,,,,,,,,
7033,,,,,,,,,,,,
7034,,,,,,,,,,,,
7035,,,,,,,,,,,,
7036,,,,,,,,,,,,
7037,,,,,,,,,,,,
7038,,,,,,,,,,,,
7039,,,,,,,,,,,,
7040,,,,,,,,,,,,
7041,,,,,,,,,,,,
7042,,,,,,,,,,,,
7043,,,,,,,,,,,,
7044,,,,,,,,,,,,
7045,,,,,,,,,,,,
7046,,,,,,,,,,,,
7047,,,,,,,,,,,,
7048,,,,,,,,,,,,
7049,,,,,,,,,,,,
7050,,,,,,,,,,,,
7051,,,,,,,,,,,,
7052,,,,,,,,,,,,
7053,,,,,,,,,,,,
7054,,,,,,,,,,,,
7055,,,,,,,,,,,,
7056,,,,,,,,,,,,
7057,,,,,,,,,,,,
7058,,,,,,,,,,,,
7059,,,,,,,,,,,,
7060,,,,,,,,,,,,
7061,,,,,,,,,,,,
7062,,,,,,,,,,,,
7063,,,,,,,,,,,,
7064,,,,,,,,,,,,
7065,,,,,,,,,,,,
7066,,,,,,,,,,,,
7067,,,,,,,,,,,,
7068,,,,,,,,,,,,
7069,,,,,,,,,,,,
7070,,,,,,,,,,,,
7071,,,,,,,,,,,,
7072,,,,,,,,,,,,
7073,,,,,,,,,,,,
7074,,,,,,,,,,,,
7075,,,,,,,,,,,,
7076,,,,,,,,,,,,
7077,,,,,,,,,,,,
7078,,,,,,,,,,,,
7079,,,,,,,,,,,,
7080,,,,,,,,,,,,
7081,,,,,,,,,,,,
7082,,,,,,,,,,,,
7083,,,,,,,,,,,,
7084,,,,,,,,,,,,
7085,,,,,,,,,,,,
7086,,,,,,,,,,,,
7087,,,,,,,,,,,,
7088,,,,,,,,,,,,
7089,,,,,,,,,,,,
7090,,,,,,,,,,,,
7091,,,,,,,,,,,,
7092,,,,,,,,,,,,
7093,,,,,,,,,,,,
7094,,,,,,,,,,,,
7095,,,,,,,,,,,,
7096,,,,,,,,,,,,
7097,,,,,,,,,,,,
7098,,,,,,,,,,,,
7099,,,,,,,,,,,,
7100,,,,,,,,,,,,
7101,,,,,,,,,,,,
7102,,,,,,,,,,,,
7103,,,,,,,,,,,,
7104,,,,,,,,,,,,
7105,,,,,,,,,,,,
7106,,,,,,,,,,,,
7107,,,,,,,,,,,,
7108,,,,,,,,,,,,
7109,,,,,,,,,,,,
7110,,,,,,,,,,,,
7111,,,,,,,,,,,,
7112,,,,,,,,,,,,
7113,,,,,,,,,,,,
7114,,,,,,,,,,,,
7115,,,,,,,,,,,,
7116,,,,,,,,,,,,
7117,,,,,,,,,,,,
7118,,,,,,,,,,,,
7119,,,,,,,,,,,,
7120,,,,,,,,,,,,
7121,,,,,,,,,,,,
7122,,,,,,,,,,,,
7123,,,,,,,,,,,,
7124,,,,,,,,,,,,
7125,,,,,,,,,,,,
7126,,,,,,,,,,,,
7127,,,,,,,,,,,,
7128,,,,,,,,,,,,
7129,,,,,,,,,,,,
7130,,,,,,,,,,,,
7131,,,,,,,,,,,,
7132,,,,,,,,,,,,
7133,,,,,,,,,,,,
7134,,,,,,,,,,,,
7135,,,,,,,,,,,,
7136,,,,,,,,,,,,
7137,,,,,,,,,,,,
7138,,,,,,,,,,,,
7139,,,,,,,,,,,,
7140,,,,,,,,,,,,
7141,,,,,,,,,,,,
7142,,,,,,,,,,,,
7143,,,,,,,,,,,,
7144,,,,,,,,,,,,
7145,,,,,,,,,,,,
7146,,,,,,,,,,,,
7147,,,,,,,,,,,,
7148,,,,,,,,,,,,
7149,,,,,,,,,,,,
7150,,,,,,,,,,,,
7151,,,,,,,,,,,,
7152,,,,,,,,,,,,
7153,,,,,,,,,,,,
7154,,,,,,,,,,,,
7155,,,,,,,,,,,,
7156,,,,,,,,,,,,
7157,,,,,,,,,,,,
7158,,,,,,,,,,,,
7159,,,,,,,,,,,,
7160,,,,,,,,,,,,
7161,,,,,,,,,,,,
7162,,,,,,,,,,,,
7163,,,,,,,,,,,,
7164,,,,,,,,,,,,
7165,,,,,,,,,,,,
7166,,,,,,,,,,,,
7167,,,,,,,,,,,,
7168,,,,,,,,,,,,
7169,,,,,,,,,,,,
7170,,,,,,,,,,,,
7171,,,,,,,,,,,,
7172,,,,,,,,,,,,
7173,,,,,,,,,,,,
7174,,,,,,,,,,,,
7175,,,,,,,,,,,,
7176,,,,,,,,,,,,
7177,,,,,,,,,,,,
7178,,,,,,,,,,,,
7179,,,,,,,,,,,,
7180,,,,,,,,,,,,
7181,,,,,,,,,,,,
7182,,,,,,,,,,,,
7183,,,,,,,,,,,,
7184,,,,,,,,,,,,
7185,,,,,,,,,,,,
7186,,,,,,,,,,,,
7187,,,,,,,,,,,,
7188,,,,,,,,,,,,
7189,,,,,,,,,,,,
7190,,,,,,,,,,,,
7191,,,,,,,,,,,,
7192,,,,,,,,,,,,
7193,,,,,,,,,,,,
7194,,,,,,,,,,,,
7195,,,,,,,,,,,,
7196,,,,,,,,,,,,
7197,,,,,,,,,,,,
7198,,,,,,,,,,,,
7199,,,,,,,,,,,,
7200,,,,,,,,,,,,
